country,country_code,year,mktcap_pct_gdp,pvcredit_pct_gdp,FinStructure
Austria,AUT,2010,32.33016308,98.80578175,-0.407028342
Austria,AUT,2011,19.87844232,96.33087146,-0.493323107
Austria,AUT,2012,26.06924472,94.47473306,-0.43347093
Austria,AUT,2013,27.58480738,92.93733046,-0.413584124
Austria,AUT,2014,22.0702317,87.97913898,-0.431734445
Austria,AUT,2015,25.3142848,85.99478361,-0.394893768
Austria,AUT,2016,30.72913746,83.25938747,-0.337775037
Austria,AUT,2017,36.30670044,84.32787863,-0.301808624
Austria,AUT,2018,25.80790307,84.57071447,-0.383276502
Austria,AUT,2019,30.04585435,86.02152548,-0.357975281
Austria,AUT,2020,30.40607258,92.73321594,-0.390653715
Austria,AUT,2021,33.90224425,92.7677951,-0.364376317
Austria,AUT,2022,26.00221086,88.91874499,-0.405017549
Austria,AUT,2023,26.83208881,83.83145857,-0.371155275
Austria,AUT,2024,22.58487767,81.49527247,-0.392425937
Austria,AUT,2025,NA,NA,NA
Belgium,BEL,2010,55.80368823,56.78494581,-0.006278288
Belgium,BEL,2011,43.49816153,55.01400149,-0.077193222
Belgium,BEL,2012,60.09400231,54.48955482,0.035634669
Belgium,BEL,2013,71.42295625,56.15834926,0.093263379
Belgium,BEL,2014,70.35959885,57.61037618,0.077785476
Belgium,BEL,2015,89.91673026,60.80238149,0.166409547
Belgium,BEL,2016,79.73159467,63.02304191,0.097573045
Belgium,BEL,2017,87.3998522,63.96039577,0.133619672
Belgium,BEL,2018,59.17259803,66.33872465,-0.044037084
Belgium,BEL,2019,75.81615155,67.75731685,0.046920463
Belgium,BEL,2020,69.29543296,74.15123076,-0.028278751
Belgium,BEL,2021,70.80608232,72.9645377,-0.012557698
Belgium,BEL,2022,55.99081469,70.86202593,-0.09105924
Belgium,BEL,2023,53.04048134,67.72909226,-0.091647661
Belgium,BEL,2024,49.88371146,66.75299441,-0.106653906
Belgium,BEL,2025,NA,NA,NA
Bulgaria,BGR,2010,14.55217606,68.10791197,-0.383575701
Bulgaria,BGR,2011,14.3083651,65.19243398,-0.368211307
Bulgaria,BGR,2012,NA,65.69834469,NA
Bulgaria,BGR,2013,NA,66.10150437,NA
Bulgaria,BGR,2014,NA,59.14312227,NA
Bulgaria,BGR,2015,NA,54.71622377,NA
Bulgaria,BGR,2016,NA,51.94612629,NA
Bulgaria,BGR,2017,NA,49.73553209,NA
Bulgaria,BGR,2018,23.68096346,50.47652664,-0.196101728
Bulgaria,BGR,2019,23.35511582,49.77383966,-0.194059105
Bulgaria,BGR,2020,25.12595339,51.245186,-0.189581411
Bulgaria,BGR,2021,20.17721842,48.10316253,-0.208941602
Bulgaria,BGR,2022,17.35195832,44.68712194,-0.209396021
Bulgaria,BGR,2023,7.671907013,45.28166234,-0.299585652
Bulgaria,BGR,2024,7.42299356,47.02885548,-0.313854611
Bulgaria,BGR,2025,NA,NA,NA
Croatia,HRV,2010,43.40151055,NA,NA
Croatia,HRV,2011,35.87014781,NA,NA
Croatia,HRV,2012,NA,69.22744727,NA
Croatia,HRV,2013,35.89988437,67.90712629,-0.211492537
Croatia,HRV,2014,33.61501504,66.74041179,-0.22147554
Croatia,HRV,2015,36.1075874,63.17324771,-0.181366849
Croatia,HRV,2016,38.32960353,58.98551044,-0.1391738
Croatia,HRV,2017,40.51917501,55.97748683,-0.104367725
Croatia,HRV,2018,33.45851174,54.26808003,-0.144901212
Croatia,HRV,2019,36.53726694,52.92000025,-0.113317315
Croatia,HRV,2020,38.35412355,59.13800648,-0.13995528
Croatia,HRV,2021,30.41003008,52.85973316,-0.15883716
Croatia,HRV,2022,27.1579226,50.5301962,-0.168733904
Croatia,HRV,2023,29.61093199,46.42720489,-0.121991278
Croatia,HRV,2024,29.91572393,46.84464398,-0.122489221
Croatia,HRV,2025,NA,NA,NA
Cyprus,CYP,2010,26.48959641,234.1282702,-0.971364899
Cyprus,CYP,2011,10.32257624,242.4252984,-1.132644941
Cyprus,CYP,2012,7.967881113,249.095016,-1.173510352
Cyprus,CYP,2013,8.784454189,254.5516588,-1.181485618
Cyprus,CYP,2014,17.3556109,251.7102668,-1.097598996
Cyprus,CYP,2015,13.52334295,243.3048804,-1.106610436
Cyprus,CYP,2016,11.93232845,216.1375707,-1.038282991
Cyprus,CYP,2017,12.29984589,191.6903935,-0.954520454
Cyprus,CYP,2018,12.86592306,135.2406454,-0.734408421
Cyprus,CYP,2019,16.35654636,106.6114938,-0.574181036
Cyprus,CYP,2020,18.36487092,106.4020076,-0.55605378
Cyprus,CYP,2021,18.60878585,87.33293881,-0.457056892
Cyprus,CYP,2022,20.92591407,70.75634232,-0.345059564
Cyprus,CYP,2023,29.59374074,60.51945558,-0.214010668
Cyprus,CYP,2024,29.03843633,56.60599464,-0.193622747
Cyprus,CYP,2025,NA,NA,NA
Czechia,CZE,2010,NA,45.85683142,NA
Czechia,CZE,2011,NA,47.92339126,NA
Czechia,CZE,2012,NA,49.04562127,NA
Czechia,CZE,2013,NA,50.2859791,NA
Czechia,CZE,2014,NA,49.08906239,NA
Czechia,CZE,2015,NA,49.25660167,NA
Czechia,CZE,2016,NA,50.56931301,NA
Czechia,CZE,2017,NA,50.22952714,NA
Czechia,CZE,2018,10.69955054,50.71512278,-0.308571671
Czechia,CZE,2019,10.24676534,49.43619904,-0.304148365
Czechia,CZE,2020,10.5983975,51.97846102,-0.317833207
Czechia,CZE,2021,12.87724523,52.02990604,-0.297776349
Czechia,CZE,2022,9.544718139,48.62847155,-0.305116862
Czechia,CZE,2023,10.04498949,47.71349362,-0.294385266
Czechia,CZE,2024,9.976288699,48.02167845,-0.297093954
Czechia,CZE,2025,NA,NA,NA
Denmark,DNK,2010,NA,192.8297813,NA
Denmark,DNK,2011,NA,187.070966,NA
Denmark,DNK,2012,NA,182.2947194,NA
Denmark,DNK,2013,NA,176.4753589,NA
Denmark,DNK,2014,NA,173.4041433,NA
Denmark,DNK,2015,NA,170.4807859,NA
Denmark,DNK,2016,NA,167.0593463,NA
Denmark,DNK,2017,NA,162.0560897,NA
Denmark,DNK,2018,NA,161.9602238,NA
Denmark,DNK,2019,NA,161.8986789,NA
Denmark,DNK,2020,NA,163.5367551,NA
Denmark,DNK,2021,NA,155.2293211,NA
Denmark,DNK,2022,NA,143.4060006,NA
Denmark,DNK,2023,NA,147.4820985,NA
Denmark,DNK,2024,NA,144.0931022,NA
Denmark,DNK,2025,NA,NA,NA
Estonia,EST,2010,11.42775064,92.77043198,-0.548123605
Estonia,EST,2011,7.41249552,77.69747406,-0.503405999
Estonia,EST,2012,9.780505335,72.20278882,-0.450189821
Estonia,EST,2013,9.794917289,68.53750289,-0.428544057
Estonia,EST,2014,8.165570068,66.19502121,-0.429498816
Estonia,EST,2015,9.252296416,67.46503063,-0.427114704
Estonia,EST,2016,10.59534003,68.0924238,-0.418636015
Estonia,EST,2017,10.8487792,62.57166285,-0.382951984
Estonia,EST,2018,9.879531743,60.74859394,-0.380457017
Estonia,EST,2019,9.777993193,58.22549634,-0.365561125
Estonia,EST,2020,9.726095056,62.45672673,-0.392424454
Estonia,EST,2021,17.21534783,59.28469284,-0.306680299
Estonia,EST,2022,12.93164908,57.22167921,-0.330874019
Estonia,EST,2023,13.05616451,57.65849012,-0.332546512
Estonia,EST,2024,12.55901595,60.53291248,-0.355021313
Estonia,EST,2025,NA,NA,NA
Finland,FIN,2010,84.28303401,87.93709174,-0.019634484
Finland,FIN,2011,55.7967165,89.44018618,-0.195521276
Finland,FIN,2012,60.11588098,92.00960185,-0.181647571
Finland,FIN,2013,76.27139466,93.23724674,-0.091893869
Finland,FIN,2014,79.02358456,93.29285176,-0.076688851
Finland,FIN,2015,86.32107787,94.92797062,-0.045158698
Finland,FIN,2016,94.2276223,94.68516621,-0.002352939
Finland,FIN,2017,97.01565601,93.75094568,0.016709649
Finland,FIN,2018,101.4846597,94.47704879,0.035399093
Finland,FIN,2019,109.8956892,95.51941573,0.070951002
Finland,FIN,2020,123.2960992,100.5702513,0.107334124
Finland,FIN,2021,138.8909332,98.5837983,0.184795932
Finland,FIN,2022,107.1975238,94.695925,0.062233577
Finland,FIN,2023,96.95839673,91.90538322,0.025990068
Finland,FIN,2024,89.84573667,90.86471737,-0.005353061
Finland,FIN,2025,NA,NA,NA
France,FRA,2010,72.23542057,95.81367956,-0.128301327
France,FRA,2011,54.13713486,96.616362,-0.243411737
France,FRA,2012,67.39410838,96.56475809,-0.160640972
France,FRA,2013,81.71242169,95.86338004,-0.074992039
France,FRA,2014,72.90191085,93.90230386,-0.114629999
France,FRA,2015,85.49975263,94.93274648,-0.049601061
France,FRA,2016,87.39637044,96.77688049,-0.048844499
France,FRA,2017,106.1975443,99.76015418,0.031717244
France,FRA,2018,85.05789393,102.1651526,-0.088416234
France,FRA,2019,96.82605936,104.4152989,-0.037833312
France,FRA,2020,100.1313714,121.0584399,-0.099453093
France,FRA,2021,116.2546643,116.2485677,2.81921e-5
France,FRA,2022,96.66930591,114.6496688,-0.087483584
France,FRA,2023,99.43967757,108.4036799,-0.043965145
France,FRA,2024,91.96528741,103.9081169,-0.060354924
France,FRA,2025,NA,NA,NA
Germany,DEU,2010,41.23681518,86.77034023,-0.279441713
Germany,DEU,2011,30.97885908,83.24932379,-0.335811722
Germany,DEU,2012,41.3268939,82.19124203,-0.253981312
Germany,DEU,2013,50.85616385,80.67731155,-0.180385805
Germany,DEU,2014,43.84856849,77.78489983,-0.211813253
Germany,DEU,2015,50.09490821,76.57508997,-0.162478409
Germany,DEU,2016,48.51977432,75.8393971,-0.168852952
Germany,DEU,2017,60.07998176,75.61775639,-0.092636218
Germany,DEU,2018,43.27953875,76.15879885,-0.206588316
Germany,DEU,2019,52.98559783,77.49960422,-0.148624594
Germany,DEU,2020,57.95172894,82.92231766,-0.146772096
Germany,DEU,2021,57.47189501,81.671926,-0.142955458
Germany,DEU,2022,44.98105632,80.1780974,-0.217342704
Germany,DEU,2023,47.74119775,76.37872069,-0.177171426
Germany,DEU,2024,43.62839227,NA,NA
Germany,DEU,2025,NA,NA,NA
Greece,GRC,2010,22.80107857,112.6479017,-0.549071955
Greece,GRC,2011,11.92639163,119.0102042,-0.671276886
Greece,GRC,2012,18.78928814,119.9370644,-0.615990199
