Entity.ID,Entity.Name,Region
4559193,Aachener Bank eG,Nordrhein-Westfalen
4406059,Aachener Bausparkasse AG,Nordrhein-Westfalen
4588354,Alxing-Brucker Genossenschaftsbank eG,Bayern
4403547,Augusta-Bank eG Raiffeisen-Volksbank,Bayern
4247451,BAG Bankaktiengesellschaft,Nordrhein-Westfalen
4429595,Bankhaus RSA eG,Niedersachsen
4431502,Bankverein Bebra eG,Hessen
4257334,Bausparkasse Mainz AG,Rheinland-Pfalz
4145319,Bausparkasse Schwäbisch Hall AG,Baden-Württemberg
4429353,Bayerische BodenseeBank - Raiffeisen - eG,Bayern
4048275,Bayerische Landesbank,Bayern
4402075,Bensberger Bank eG,Nordrhein-Westfalen
4242086,Berliner Volksbank eG,Berlin
4398998,Bezirkssparkasse Reichenau,Baden-Württemberg
4403311,Bielefelder Volksbank eG,Nordrhein-Westfalen
4429805,Bopfinger Bank Sechta-Ries eG,Baden-Württemberg
4434027,Bordesholmer Sparkasse AG,Schleswig-Holstein
4402353,Brandenburger Bank Volksbank-Raiffeisenbank eG,Brandenburg
4242118,Bremer Landesbank Kreditanstalt Oldenburg-Girozentrale,Bremen
4399197,Bremische Volksbank Weser-Wümme eG,Bremen
4605377,Brühler Bank eG,Nordrhein-Westfalen
4087940,BSK 1818 Holding AG,Baden-Württemberg
4580526,Budenheimer Volksbank eG,Rheinland-Pfalz
4576350,Calenberger Kreditverein Calenberg-Göttingen- Grubenhagen- Hildesheim'scher ritterschaftlicher Kredi,Niedersachsen
4401485,Credit- und Volksbank eG,Nordrhein-Westfalen
4222342,Debeka Bausparkasse AG,Rheinland-Pfalz
4272715,Der Verband der Sparda-Banken e.V,Hessen
4580247,Dettinger Bank eG Volks- und Raiffeisenbank,Baden-Württemberg
4155903,Deutsche Apotheker- und Ärztebank eG,Nordrhein-Westfalen
4431479,Deutsche Bausparkasse Badenia Aktiengesellschaft,Baden-Württemberg
4242177,Die Sparkasse Bremen AG,Bremen
4402263,Dithmarscher Volks- und Raiffeisenbank eG,Schleswig-Holstein
4390983,DKM Darlehnskasse Münster eG,Nordrhein-Westfalen
4569792,Donau-Iller Bank eG,Bayern
4392265,Dortmunder Volksbank eingetragene Genossenschaft,Nordrhein-Westfalen
4403721,Dresdner Volksbank Raiffeisenbank eG,Sachsen
4427492,Eckernförder Bank eG Volksbank-Raiffeisenbank,Schleswig-Holstein
4401508,Erfurter Bank eG,Thüringen
4559202,Erzgebirgssparkasse,Sachsen
4398032,Evangelische Bank eG,Hessen
4430030,Evenord-Bank eG-KG,Bayern
4257366,Finanzholding der Sparkasse in Bremen,Bremen
4386865,Förde Sparkasse,Schleswig-Holstein
4427580,"Frankenberger Bank, Raiffeisenbank eG",Hessen
4242188,Frankfurter Sparkasse,Hessen
4382865,Frankfurter Volksbank Rhein/Main eG,Hessen
4567256,Freisinger Bank eG Volksbank-Raiffeisenbank,Bayern
4200067,"Fürstlich Castell'sche Bank, Credit-Casse AG",Bayern
4406093,Geno Bank Essen eG,Nordrhein-Westfalen
4562535,Genossenschaftsbank eG München,Bayern
4403755,Genossenschaftsbank Unterallgäu eG,Bayern
4579588,Genossenschaftsbank Wolfschlugen eG,Baden-Württemberg
4576214,Geraer Bank eG,Thüringen
4605606,Hagnauer Volksbank eG,Baden-Württemberg
4567199,Hallertauer Volksbank eG,Bayern
4106903,Hamburg Commercial Bank AG,Hamburg
4242192,Hamburger Sparkasse AG,Hamburg
4387829,Hannoversche Volksbank eG,Niedersachsen
4427594,Harzer Volksbank eG,Niedersachsen
4538184,Harzsparkasse,Sachsen-Anhalt
4403345,Hausbank München eG Bank für Haus- und Grundbesitz,Bayern
4395710,Heidenheimer Volksbank eG,Baden-Württemberg
4253027,Heinsberger Volksbank AG,Nordrhein-Westfalen
4402385,Herner Sparkasse GmbH,Nordrhein-Westfalen
4403394,Hohenzollerische Landesbank Kreissparkasse Sigmaringen,Baden-Württemberg
4580276,Hümmlinger Volksbank eG,Niedersachsen
4394964,Ihre Volksbank eG Neckar Odenwald Main Tauber,Baden-Württemberg
4413582,Kasseler Sparkasse,Hessen
4278180,Kerner Volksbank eG,Baden-Württemberg
4405114,Kieler Volksbank eG,Schleswig-Holstein
4394720,Kölner Bank eG,Nordrhein-Westfalen
4427598,Kreis- und Stadtsparkasse Dinkelsbühl,Bayern
4402381,Kreis- und Stadtsparkasse Erding - Dorfen,Bayern
4567095,Kreis- und Stadtsparkasse Kaufbeuren,Bayern
4569986,Kreis- und Stadtsparkasse Münden,Niedersachsen
4278481,Kreis- und Stadtsparkasse Wasserburg am Inn,Bayern
4567185,Kreis-Sparkasse Northeim,Niedersachsen
4394918,Kreissparkasse Ahrweiler,Rheinland-Pfalz
4403301,Kreissparkasse Altenkirchen,Rheinland-Pfalz
4538189,Kreissparkasse Anhalt-Bitterfeld,Sachsen-Anhalt
4394401,Kreissparkasse Augsburg,Bayern
4395163,Kreissparkasse Bautzen,Sachsen
4395263,Kreissparkasse Bersenbrück,Niedersachsen
4139023,Kreissparkasse Biberach,Baden-Württemberg
4395372,Kreissparkasse Birkenfeld (Birkenfelder Landesbank),Rheinland-Pfalz
4402565,Kreissparkasse Bitburg-Prüm,Rheinland-Pfalz
4278191,Kreissparkasse Böblingen,Baden-Württemberg
4619128,Kreissparkasse Börde,Sachsen-Anhalt
4394450,Kreissparkasse Diepholz,Niedersachsen
4399095,Kreissparkasse Döbeln,Sachsen
4394435,Kreissparkasse Düsseldorf,Nordrhein-Westfalen
4413647,Kreissparkasse Eichsfeld,Thüringen
4401047,Kreissparkasse Esslingen-Nürtingen,Baden-Württemberg
4562525,Kreissparkasse Euskirchen,Nordrhein-Westfalen
4403587,Kreissparkasse Fallingbostel in Walsrode,Niedersachsen
4394743,Kreissparkasse Freudenstadt,Baden-Württemberg
4403032,Kreissparkasse Garmisch-Partenkirchen,Bayern
4403309,Kreissparkasse Gelnhausen,Hessen
4240773,Kreissparkasse Göppingen,Baden-Württemberg
4396725,Kreissparkasse Gotha,Thüringen
4403458,Kreissparkasse Grafschaft Bentheim zu Nordhorn,Niedersachsen
4403494,Kreissparkasse Grafschaft Diepholz,Niedersachsen
4399828,Kreissparkasse Groß-Gerau,Sachsen
4395161,Kreissparkasse Halle-Wiedenbrück,Sachsen-Anhalt
4537824,Kreissparkasse Heidenheim,Baden-Württemberg
4245467,Kreissparkasse Heilbronn,Baden-Württemberg
4400726,Kreissparkasse Heinsberg,Nordrhein-Westfalen
4399811,Kreissparkasse Herzogtum Lauenburg,Schleswig-Holstein
4404063,Kreissparkasse Hildburghausen,Thüringen
4567251,Kreissparkasse Höchstadt a.d. Aisch,Bayern
4278193,Kreissparkasse Kelheim,Bayern
4242216,Kreissparkasse Köln,Nordrhein-Westfalen
4394609,Kreissparkasse Kusel,Rheinland-Pfalz
4395134,Kreissparkasse Limburg,Hessen
4245468,Kreissparkasse Ludwigsburg,Baden-Württemberg
4394983,Kreissparkasse Mayen,Rheinland-Pfalz
4278213,Kreissparkasse Melle,Niedersachsen
4562546,Kreissparkasse Miesbach-Tegernsee,Bayern
4288736,Kreissparkasse München Starnberg Ebersberg,Bayern
4413649,Kreissparkasse Nordhausen,Thüringen
4387093,Kreissparkasse Ostalb,Baden-Württemberg
4402562,Kreissparkasse Osterholz,Niedersachsen
4403509,Kreissparkasse Peine,Niedersachsen
4387117,Kreissparkasse Ravensburg,Baden-Württemberg
4278195,Kreissparkasse Reutlingen,Baden-Württemberg
4395212,Kreissparkasse Rhein-Hunsrück,Nordrhein-Westfalen
4394363,Kreissparkasse Rhein-Pfalz,Nordrhein-Westfalen
4400685,Kreissparkasse Rottweil,Baden-Württemberg
4405039,Kreissparkasse Saale-Orla,Sachsen
4403318,Kreissparkasse Saalfeld-Rudolstadt,Thüringen
4394444,Kreissparkasse Saarlouis,Saarland
4394986,Kreissparkasse Saarpfalz,Saarland
4404036,Kreissparkasse Schlüchtern,Hessen
4399356,Kreissparkasse Schongau,Bayern
4396572,Kreissparkasse Schwalm-Eder,Hessen
4537825,Kreissparkasse Soltau,Niedersachsen
4403033,Kreissparkasse St. Wendel,Saarland
4402578,Kreissparkasse Stade,Niedersachsen
4399788,Kreissparkasse Steinfurt,Nordrhein-Westfalen
4567194,Kreissparkasse Stendal,Sachsen-Anhalt
4562526,Kreissparkasse Traunstein-Trostberg,Bayern
4387099,Kreissparkasse Tübingen,Baden-Württemberg
4278189,Kreissparkasse Tuttlingen,Baden-Württemberg
4278192,Kreissparkasse Verden,Niedersachsen
4537828,Kreissparkasse Vulkaneifel,Rheinland-Pfalz
4245469,Kreissparkasse Waiblingen,Baden-Württemberg
4278196,Kreissparkasse Weilburg,Hessen
4562528,Kreissparkasse Wiedenbrück,Nordrhein-Westfalen
4399105,Kyffhäusersparkasse Artern-Sondershausen,Thüringen
4073469,Landesbank Baden-Württemberg,Baden-Württemberg
4120106,Landesbank Hessen-Thüringen Girozentrale,Thüringen
4242219,Landesbank Saar,Saarland
4342374,Landessparkasse zu Oldenburg,Niedersachsen
4400665,LBS Bausparkasse Schleswig-Holstein-Hamburg AG,Hamburg
4245465,LBS Bayerische Landesbausparkasse,Bayern
4876783,LBS Landesbausparkasse NordOst AG,Berlin
4245472,LBS Landesbausparkasse NordWest,Niedersachsen
4399809,LBS Landesbausparkasse Rheinland-Pfalz,Rheinland-Pfalz
4403782,LBS Landesbausparkasse Saar,Saarland
4245470,LBS Landesbausparkasse Süd,Niedersachsen
4576163,Leipziger Volksbank eG,Sachsen
4395429,Märkische Bank eG,Nordrhein-Westfalen
4393859,meine Volksbank Raiffeisenbank eG,Bayern
4243639,Mittelbrandenburgische Sparkasse in Potsdam,Brandenburg
4567196,MMV Bank GmbH,Rheinland-Pfalz
4548678,Müritz-Sparkasse,Mecklenburg-Vorpommern
