Entity.ID,Entity.Name,SP_COUNTRY_NAME,SNL_INDUSTRY,Region
1022397,1867 Western Financial Corporation (OTCEM:WFCL),USA,Bank,California
4144316,1st Capital Bancorp (OTCPK:FISB),USA,Bank,California
4051209,1st Centennial Bancorp. (OTCPK:FCEN),USA,Bank,California
4190194,"1st Century Bancshares, Inc.",USA,Bank,California
4091817,"1st Century Bank, National Association",USA,Bank,California
4074177,"1st Colonial Bancorp, Inc. (OTCPK:FCOB)",USA,Bank,New Jersey
4055839,1st Colonial Community Bank,USA,Bank,New Jersey
4053361,1st Constitution Bancorp,USA,Bank,New Jersey
4120474,1st Enterprise Bank,USA,Bank,California
4208020,1st Financial Services Corporation,USA,Bank,North Carolina
102586,"1st Independence Financial Group, Inc.",USA,Bank,Indiana
1009810,1st National Bank of Scotia,USA,Bank,New York
4152108,1st Pacific Bancorp,USA,Bank,California
4055912,1st Pacific Bank of California,USA,Bank,California
100444,1st Source Corporation (NASDAQGS:SRCE),USA,Bank,Indiana
4044188,"1st State Bancorp, Inc.",USA,Bank,New Mexico
1023101,"1ST SUMMIT BANCORP of Johnstown, Inc. (OTCPK:FSMK)",USA,Bank,Pennsylvania
100512,1st United Bancorp,USA,Bank,Florida
4056712,"1st United Bancorp, Inc.",USA,Bank,Florida
4207449,AB&T Financial Corp.,USA,Bank,North Carolina
100889,"Abigail Adams National Bancorp, Inc.",USA,Bank,District of Columbia
1974214,Absecon Bancorp (OTCPK:ASCN),USA,Bank,New Jersey
4078679,Access National Corporation (NASDAQGM:ANCX),USA,Bank,Virginia
100603,ACNB Corporation (NASDAQCM:ACNB),USA,Bank,Pennsylvania
1023580,"ACNB North, Inc.",USA,Bank,Pennsylvania
1022663,"ACRU, Inc.",USA,Bank,North Carolina
1024139,"Admiralty Bancorp, Inc. (NASDAQGM:AAAB)",USA,Bank,New Jersey
1020222,"Advance Bancorp, Inc. (OTCPK:AVNP)",USA,Bank,Tennessee
4046649,Advantage Bank (NASDAQGM:ADBK),USA,Bank,Colorado
4088007,Advantage National Bancorp,USA,Bank,Maryland
100128,"Affiliated Bankshares of Colorado, Inc.",USA,Bank,Colorado
4051118,AgFirst Farm Credit Bank,USA,Bank,South Carolina
4022917,"AgriBank, FCB",USA,Bank,Minnesota
10281459,"AgriBank, FCB and District Associations",USA,Bank,Minnesota
7441792,"AgWest Farm Credit, ACA",USA,Bank,Washington
101232,Alabama National BanCorporation,USA,Bank,Alabama
4015396,Alamance Bank,USA,Bank,North Carolina
4120187,Alarion Financial Services Inc. (OTCPK:ARFS),USA,Bank,Florida
1021491,Albank Corporation,USA,Bank,New York
1984001,Albemarle First Bank,USA,Bank,North Carolina
1024752,Albina Community Bancorp,USA,Bank,Oregon
1023992,Alerus Financial Corporation (NASDAQCM:ALRS),USA,Bank,North Dakota
102682,"Algiers Bancorp, Inc.",USA,Bank,Louisiana
1032550,Allaire Community Bank,USA,Bank,New Jersey
4086441,"Allegheny Bancshares, Inc.",USA,Bank,Pennsylvania
1021885,"Allegheny Valley Bancorp, Inc.",USA,Bank,Pennsylvania
100601,Allegiance Banc Corporation (NASDAQGM:ALLG),USA,Bank,Maryland
4053222,Allegiance Bank of North America (OTCPK:ABPA),USA,Bank,Pennsylvania
101210,"Allegiant Bancorp, Inc. (NASDAQGM:ALLE)",USA,Bank,Missouri
100091,"Allfirst Financial, Inc.",USA,Bank,Maryland
4065719,Alliance Bancshares California (OTCPK:ABNS),USA,Bank,California
100605,Alliance Bank,USA,Bank,Wisconsin
4091660,Alliance Bank & Trust Company,USA,Bank,North Carolina
1984002,Alliance Bank Corporation,USA,Bank,Michigan
4080116,Alliance Bankshares Corporation,USA,Bank,Virginia
100023,Alliance Financial Corporation,USA,Bank,New York
100700,Alliance Financial Corporation,USA,Bank,New York
