Entity ID,Entity Name,SP_COUNTRY_NAME,SNL_INDUSTRY,Region
101951,108 East Michigan Office,USA,Savings Bank/Thrift/Mutual,Michigan
11123920,"1895 Bancorp of Wisconsin, Inc. (OTCQX:BCOW)",USA,Savings Bank/Thrift/Mutual,Wisconsin
102649,1st Bergen Bancorp (NASDAQGM:FBER),USA,Savings Bank/Thrift/Mutual,New Jersey
1002454,"1st Federal Savings Bank of SC, Inc. (OTCPK:FSGB)",USA,Savings Bank/Thrift/Mutual,South Carolina
4221507,1st Security Bancorp Inc.,USA,Savings Bank/Thrift/Mutual,Washington
102037,1st Washington Bancorp Inc. (VA) (NASDAQGM:WFSB),USA,Savings Bank/Thrift/Mutual,Virginia
1032011,Abington Bancorp Inc. (NASDAQGM:ABBK),USA,Savings Bank/Thrift/Mutual,Pennsylvania
4093268,"Abington Bancorp, Inc.",USA,Savings Bank/Thrift/Mutual,Massachusetts
101327,ABQ Corporation,USA,Savings Bank/Thrift/Mutual,New Mexico
1026426,Abraham Lincoln Savings Bank,USA,Savings Bank/Thrift/Mutual,Pennsylvania
1025194,"Acadiana Bancshares, Inc. (NYSEAM:ANA)",USA,Savings Bank/Thrift/Mutual,Louisiana
112077,Access Anytime Bancorp Inc. (NASDAQGM:AABC),USA,Savings Bank/Thrift/Mutual,Tennessee
1026541,Action Savings Bank S.L.A.,USA,Savings Bank/Thrift/Mutual,Pennsylvania
4002101,"Adirondack Financial Services Bancorp, Inc. (NASDAQGM:AFSB)",USA,Savings Bank/Thrift/Mutual,New York
101329,Admiral Financial Corp.,USA,Savings Bank/Thrift/Mutual,California
107429,Advance Financial Bancorp (NASDAQGM:AFBC),USA,Savings Bank/Thrift/Mutual,New Jersey
102157,"Advantage Bancorp, Inc. (NASDAQGM:AADV)",USA,Savings Bank/Thrift/Mutual,New York
1011721,Advantage Bank for Savings,USA,Savings Bank/Thrift/Mutual,Alabama
101446,AFB&T,USA,Savings Bank/Thrift/Mutual,Alabama
1004181,Affiliated Banc Corporation,USA,Savings Bank/Thrift/Mutual,Illinois
1024775,"Affiliated Community Bancorp, Inc. (NASDAQGM:AFCB)",USA,Savings Bank/Thrift/Mutual,Massachusetts
4872031,"Affinity Bancshares, Inc. (NASDAQCM:AFBI)",USA,Savings Bank/Thrift/Mutual,Georgia
106887,"AFSALA Bancorp, Inc. (NASDAQGM:AFED)",USA,Savings Bank/Thrift/Mutual,New York
4072178,"AJS Bancorp, Inc. (OTCPK:AJSB.D)",USA,Savings Bank/Thrift/Mutual,Illinois
4047138,"Alaska Pacific Bancshares, Inc.",USA,Savings Bank/Thrift/Mutual,Alaska
102151,ALBANK Financial Corp. (NASDAQGM:ALBK),USA,Savings Bank/Thrift/Mutual,New York
1000207,Albemarle Savings & Loan Association,USA,Savings Bank/Thrift/Mutual,North Carolina
102309,Albion Banc Corp. (NASDAQGM:ALBC),USA,Savings Bank/Thrift/Mutual,New York
101582,Alliance Bancorp (NASDAQGM:ABCL),USA,Savings Bank/Thrift/Mutual,Pennsylvania
113688,Alliance Bancorp of New England Inc. (NYSEAM:ANE),USA,Savings Bank/Thrift/Mutual,Connecticut
1016482,"Alliance Bancorp, Inc. of Pennsylvania",USA,Savings Bank/Thrift/Mutual,Pennsylvania
1023702,"Allied Bank Capital, Inc. (NASDAQGM:ABCI)",USA,Savings Bank/Thrift/Mutual,Indiana
4072189,"Allied First Bancorp, Inc.",USA,Savings Bank/Thrift/Mutual,Illinois
1026435,"Altus Bank, A Federal Savings Bank",USA,Savings Bank/Thrift/Mutual,Alabama
102229,Am-First Financial Corp.,USA,Savings Bank/Thrift/Mutual,Ohio
102619,"Ambanc Holding Co., Inc. (NASDAQGM:AHCI)",USA,Savings Bank/Thrift/Mutual,New Jersey
101652,Ambassador Financial Group,USA,Savings Bank/Thrift/Mutual,Illinois
101654,Ameribanc Investors Group (NASDAQGM:AINVS),USA,Savings Bank/Thrift/Mutual,Virginia
102094,America First Financial Fund 1987-A LP,USA,Savings Bank/Thrift/Mutual,Utah
4087762,"American Bancorp of New Jersey, Inc.",USA,Savings Bank/Thrift/Mutual,New Jersey
1003075,American Bank,USA,Savings Bank/Thrift/Mutual,Pennsylvania
4086346,"American Bank Holdings, Inc.",USA,Savings Bank/Thrift/Mutual,Iowa
101678,American Bank of Connecticut (NYSEAM:BKC),USA,Savings Bank/Thrift/Mutual,Connecticut
101650,American Capital Corporation,USA,Savings Bank/Thrift/Mutual,Ohio
101328,American Century Corporation,USA,Savings Bank/Thrift/Mutual,Virginia
101331,American Continental Corporation,USA,Savings Bank/Thrift/Mutual,California
102252,"American Equity Bancorp, Inc.",USA,Savings Bank/Thrift/Mutual,Maryland
101657,American Federal Bank FSB (NASDAQGM:AMFB),USA,Savings Bank/Thrift/Mutual,North Dakota
1031022,American Federal Corporation,USA,Savings Bank/Thrift/Mutual,South Dakota
4049888,"American Financial Holdings, Inc. (NASDAQGM:AMFH)",USA,Savings Bank/Thrift/Mutual,California
102184,"American National Bancorp, Inc. (NASDAQGM:ANBK)",USA,Savings Bank/Thrift/Mutual,Virginia
1001786,American Savings Bank,USA,Savings Bank/Thrift/Mutual,Hawaii
1003249,American Savings Bank National Association,USA,Savings Bank/Thrift/Mutual,California
101447,American Savings Financial Corporation,USA,Savings Bank/Thrift/Mutual,California
102069,"American Savings of Florida, F.S.B. (NASDAQGM:ASFL)",USA,Savings Bank/Thrift/Mutual,Florida
102132,Amerifed Financial Corp (NASDAQGM:AFFC),USA,Savings Bank/Thrift/Mutual,Michigan
101330,AmFed Financial Corporation,USA,Savings Bank/Thrift/Mutual,Tennessee
1031029,AmFin Financial Corporation (OTCPK:AFNL),USA,Savings Bank/Thrift/Mutual,Ohio
102165,Amity Bancshares Inc (NASDAQGM:AMBS),USA,Savings Bank/Thrift/Mutual,Georgia
101659,"Amoskeag Bank Shares, Inc.",USA,Savings Bank/Thrift/Mutual,New Hampshire
102543,Amtrust Capital Corp.,USA,Savings Bank/Thrift/Mutual,Ohio
4220185,Anchor Bancorp,USA,Savings Bank/Thrift/Mutual,Washington
102183,Anchor BanCorp Wisconsin Inc.,USA,Savings Bank/Thrift/Mutual,Wisconsin
101649,"Anchor Bancorp, Inc. (NASDAQGM:ABKR)",USA,Savings Bank/Thrift/Mutual,Indiana
102592,"Anchor Savings Bank, Federal Savings Bank",USA,Savings Bank/Thrift/Mutual,California
1021850,"Andover Bancorp, Inc. (NASDAQGM:ANDB)",USA,Savings Bank/Thrift/Mutual,Massachusetts
4021411,Anson Bancorp Inc (NASDAQGM:ANSN),USA,Savings Bank/Thrift/Mutual,North Carolina
101665,Apollo Savings & Loan Company,USA,Savings Bank/Thrift/Mutual,Ohio
1027796,"Appalachian Bancshares, Inc.",USA,Savings Bank/Thrift/Mutual,Georgia
101664,"Apple Bancorp, Inc.",USA,Savings Bank/Thrift/Mutual,New York
1026378,Archer Federal Savings & Loan Association,USA,Savings Bank/Thrift/Mutual,Texas
1001046,Arlo Bank,USA,Savings Bank/Thrift/Mutual,Colorado
4289733,"ASB Bancorp, Inc. (NASDAQGM:ASBB)",USA,Savings Bank/Thrift/Mutual,North Carolina
102551,ASB Financial Corp. (OTCPK:ASBN),USA,Savings Bank/Thrift/Mutual,Ohio
102333,Astoria Financial Corporation (NYSE:AF),USA,Savings Bank/Thrift/Mutual,New York
101669,Atico Financial Corporation,USA,Savings Bank/Thrift/Mutual,Florida
101501,Atico Savings Bank,USA,Savings Bank/Thrift/Mutual,Florida
101651,Atlanfed Bancorp Inc. (NASDAQGM:AFED),USA,Savings Bank/Thrift/Mutual,Georgia
101333,Atlantic Financial Federal Credit Union,USA,Savings Bank/Thrift/Mutual,Pennsylvania
4077090,Atlantic Liberty Financial Corp,USA,Savings Bank/Thrift/Mutual,New Jersey
101332,"Atlantic Permanent Savings Bank, FSB",USA,Savings Bank/Thrift/Mutual,Virginia
4201620,"Auburn Bancorp, Inc. (OTCPK:ABBB)",USA,Savings Bank/Thrift/Mutual,Maine
1002464,Auburn Federal Savings Bank,USA,Savings Bank/Thrift/Mutual,Maine
133776918,"Avidia Bancorp, Inc. (NYSE:AVBC)",USA,Savings Bank/Thrift/Mutual,Massachusetts
4055785,"Axos Financial, Inc. (NYSE:AX)",USA,Savings Bank/Thrift/Mutual,California
101676,BancFlorida Financial Corp.,USA,Savings Bank/Thrift/Mutual,Florida
1002054,"BancFlorida, A Federal Savings Bank",USA,Savings Bank/Thrift/Mutual,Florida
4044656,"Bancorp 34, Inc. (OTCPK:BCTF)",USA,Savings Bank/Thrift/Mutual,Arizona
1022025,"Bancorp New Jersey, Inc. (NASDAQGM:BCNJ)",USA,Savings Bank/Thrift/Mutual,New Jersey
4056082,Bank Mutual Corporation (NASDAQGM:BKMU),USA,Savings Bank/Thrift/Mutual,Wisconsin
1003027,"Bank of Stockdale, FSB",USA,Savings Bank/Thrift/Mutual,Texas
101950,Bank of the Hudson,USA,Savings Bank/Thrift/Mutual,New York
102654,Bank Plus Corporation (NASDAQGM:BPLS),USA,Savings Bank/Thrift/Mutual,California
102277,Bank United Corp. (NASDAQGM:BNKU),USA,Savings Bank/Thrift/Mutual,Florida
102542,Bank West Financial Corp. (NASDAQGM:BWFC),USA,Savings Bank/Thrift/Mutual,Minnesota
1022884,Bankers Corp. (NASDAQGM:BKCO),USA,Savings Bank/Thrift/Mutual,New Jersey
101681,Bankers First Corporation (NASDAQGM:BNKF),USA,Savings Bank/Thrift/Mutual,Georgia
1003265,Bankers Savings Bank (NASDAQGM:BKSB),USA,Savings Bank/Thrift/Mutual,Pennsylvania
1002147,BankLiberty,USA,Savings Bank/Thrift/Mutual,Missouri
102139,"BankPlus, FSB",USA,Savings Bank/Thrift/Mutual,Mississippi
101680,BankUnited Financial Corporation,USA,Savings Bank/Thrift/Mutual,Florida
1021940,BankWorcester Corporation (NASDAQGM:BNKW),USA,Savings Bank/Thrift/Mutual,Massachusetts
