"Country","Country_Code","Year","GDP_per_Capita_PPP"
"Australia","AUS",2010,39504.36108
"Australia","AUS",2011,42152.81618
"Australia","AUS",2012,43007.26978
"Australia","AUS",2013,46123.4751
"Australia","AUS",2014,47108.59065
"Australia","AUS",2015,46464.58676
"Australia","AUS",2016,47446.2103
"Australia","AUS",2017,48564.82866
"Australia","AUS",2018,50371.23383
"Australia","AUS",2019,52885.83138
"Australia","AUS",2020,54184.16145
"Australia","AUS",2021,58327.41468
"Australia","AUS",2022,66103.17971
"Australia","AUS",2023,72272.70921
"Australia","AUS",2024,72111.18446
"Austria","AUT",2010,41735.45748
"Austria","AUT",2011,44171.56187
"Austria","AUT",2012,46156.48321
"Austria","AUT",2013,47519.85228
"Austria","AUT",2014,48355.49776
"Austria","AUT",2015,49549.31623
"Austria","AUT",2016,52397.86352
"Austria","AUT",2017,53869.83212
"Austria","AUT",2018,56636.4953
"Austria","AUT",2019,60354.92794
"Austria","AUT",2020,58523.03378
"Austria","AUT",2021,62968.94223
"Austria","AUT",2022,72065.49743
"Austria","AUT",2023,73544.65672
"Austria","AUT",2024,73911.43966
"Belgium","BEL",2010,39839.97728
"Belgium","BEL",2011,41244.8495
"Belgium","BEL",2012,42483.52507
"Belgium","BEL",2013,43864.12042
"Belgium","BEL",2014,45147.64295
"Belgium","BEL",2015,46071.91489
"Belgium","BEL",2016,48414.55181
"Belgium","BEL",2017,50256.06318
"Belgium","BEL",2018,52466.73308
"Belgium","BEL",2019,56712.46957
"Belgium","BEL",2020,56120.09584
"Belgium","BEL",2021,60669.21377
"Belgium","BEL",2022,69128.13889
"Belgium","BEL",2023,71946.14472
"Belgium","BEL",2024,73514.4831
"Bulgaria","BGR",2010,14954.25432
"Bulgaria","BGR",2011,15747.34766
"Bulgaria","BGR",2012,16327.33828
"Bulgaria","BGR",2013,16893.76896
"Bulgaria","BGR",2014,17990.76215
"Bulgaria","BGR",2015,18896.10286
"Bulgaria","BGR",2016,20745.84721
"Bulgaria","BGR",2017,22317.25489
"Bulgaria","BGR",2018,23997.68769
"Bulgaria","BGR",2019,26765.7192
"Bulgaria","BGR",2020,27351.86074
"Bulgaria","BGR",2021,30959.11185
"Bulgaria","BGR",2022,36320.14223
"Bulgaria","BGR",2023,38829.19132
"Bulgaria","BGR",2024,41969.45157
"Canada","CAN",2010,40103.11144
"Canada","CAN",2011,41666.83746
"Canada","CAN",2012,42291.97294
"Canada","CAN",2013,44301.05625
"Canada","CAN",2014,45758.10073
"Canada","CAN",2015,44668.09128
"Canada","CAN",2016,46470.64664
"Canada","CAN",2017,48317.38745
"Canada","CAN",2018,49982.59991
"Canada","CAN",2019,50498.97311
"Canada","CAN",2020,48590.68321
"Canada","CAN",2021,56995.11768
"Canada","CAN",2022,63944.10501
"Canada","CAN",2023,64219.31739
"Canada","CAN",2024,64610.37952
"Chile","CHL",2010,17917.89512
"Chile","CHL",2011,20121.68342
"Chile","CHL",2012,21366.17713
"Chile","CHL",2013,22201.06607
"Chile","CHL",2014,22553.61618
"Chile","CHL",2015,22468.31257
"Chile","CHL",2016,23256.5036
"Chile","CHL",2017,24295.22377
"Chile","CHL",2018,25305.09035
"Chile","CHL",2019,25611.75783
"Chile","CHL",2020,25350.86351
"Chile","CHL",2021,29089.85046
"Chile","CHL",2022,30932.00109
"Chile","CHL",2023,33145.40355
"Chile","CHL",2024,36181.15662
"Colombia","COL",2010,10841.12798
"Colombia","COL",2011,11707.46146
"Colombia","COL",2012,12093.07549
"Colombia","COL",2013,12779.88658
"Colombia","COL",2014,13355.36242
"Colombia","COL",2015,13332.0555
"Colombia","COL",2016,14026.83999
"Colombia","COL",2017,14400.61398
"Colombia","COL",2018,15239.40495
"Colombia","COL",2019,16181.5909
"Colombia","COL",2020,15519.21017
"Colombia","COL",2021,17383.09017
"Colombia","COL",2022,20854.003
"Colombia","COL",2023,21246.37627
"Colombia","COL",2024,22349.43644
"Costa Rica","CRI",2010,12927.56459
"Costa Rica","CRI",2011,13614.2604
"Costa Rica","CRI",2012,14463.74044
"Costa Rica","CRI",2013,15232.07715
"Costa Rica","CRI",2014,16393.80954
"Costa Rica","CRI",2015,17525.14046
