Country,Year,Share_85plus,Source
Australia,2010,1.734774534,OECD
Australia,2011,1.786528112,OECD
Australia,2012,1.82640792,OECD
Australia,2013,1.864561269,OECD
Australia,2014,1.903615464,OECD
Australia,2015,1.936508106,OECD
Australia,2016,1.960808572,OECD
Australia,2017,1.973819256,OECD
Australia,2018,1.988972363,OECD
Australia,2019,2.010757174,OECD
Australia,2020,2.048352164,OECD
Australia,2021,2.101389762,OECD
Australia,2022,2.127788366,OECD
Australia,2023,2.148007019,OECD
Australia,2024,NA,OECD
Australia,2025,NA,OECD
Austria,2010,2.247309548,OECD
Austria,2011,2.340124886,OECD
Austria,2012,2.404252763,OECD
Austria,2013,2.448461821,OECD
Austria,2014,2.493554641,OECD
Austria,2015,2.521761096,OECD
Austria,2016,2.540537271,OECD
Austria,2017,2.557633717,OECD
Austria,2018,2.560862364,OECD
Austria,2019,2.555057632,OECD
Austria,2020,2.574258203,OECD
Austria,2021,2.628939608,OECD
Austria,2022,2.636376343,OECD
Austria,2023,2.628386903,OECD
Austria,2024,NA,OECD
Austria,2025,NA,OECD
Belgium,2010,2.212734632,OECD
Belgium,2011,2.304674271,OECD
Belgium,2012,2.382296387,OECD
Belgium,2013,2.449074736,OECD
Belgium,2014,2.529411151,OECD
Belgium,2015,2.614964549,OECD
Belgium,2016,2.703455368,OECD
Belgium,2017,2.787893955,OECD
Belgium,2018,2.847766635,OECD
Belgium,2019,2.894887812,OECD
Belgium,2020,2.900506035,OECD
Belgium,2021,2.909083508,OECD
Belgium,2022,2.956801428,OECD
Belgium,2023,3.00944011,OECD
Belgium,2024,NA,OECD
Belgium,2025,NA,OECD
Bulgaria,2010,1.405325926,OECD
Bulgaria,2011,1.494771359,OECD
Bulgaria,2012,1.568296956,OECD
Bulgaria,2013,1.634935278,OECD
Bulgaria,2014,1.703029834,OECD
Bulgaria,2015,1.760490431,OECD
Bulgaria,2016,1.815428947,OECD
Bulgaria,2017,1.884770633,OECD
Bulgaria,2018,1.967615766,OECD
Bulgaria,2019,2.051188243,OECD
Bulgaria,2020,2.097826658,OECD
Bulgaria,2021,2.073597848,OECD
Bulgaria,2022,2.050172696,OECD
Bulgaria,2023,2.063096885,OECD
Bulgaria,2024,NA,OECD
Bulgaria,2025,NA,OECD
Canada,2010,1.839448978,OECD
Canada,2011,1.900953258,OECD
Canada,2012,1.958384098,OECD
Canada,2013,2.012142061,OECD
Canada,2014,2.064150982,OECD
Canada,2015,2.117457442,OECD
Canada,2016,2.170114039,OECD
Canada,2017,2.211292439,OECD
Canada,2018,2.235824878,OECD
Canada,2019,2.255948383,OECD
Canada,2020,2.276885496,OECD
Canada,2021,2.304665799,OECD
Canada,2022,2.333193264,OECD
Canada,2023,2.362273929,OECD
Canada,2024,NA,OECD
Canada,2025,NA,OECD
Chile,2010,1.012355525,OECD
Chile,2011,1.097885118,OECD
Chile,2012,1.180136398,OECD
Chile,2013,1.259763771,OECD
Chile,2014,1.334328247,OECD
Chile,2015,1.400175885,OECD
Chile,2016,1.45736723,OECD
Chile,2017,1.504216246,OECD
Chile,2018,1.542259325,OECD
Chile,2019,1.575468972,OECD
Chile,2020,1.591159376,OECD
Chile,2021,1.595606346,OECD
Chile,2022,1.607819328,OECD
Chile,2023,1.635404641,OECD
Chile,2024,NA,OECD
Chile,2025,NA,OECD
Colombia,2010,0.424217001,OECD
Colombia,2011,0.440065618,OECD
Colombia,2012,0.458075664,OECD
Colombia,2013,0.478405026,OECD
Colombia,2014,0.498677898,OECD
Colombia,2015,0.514951685,OECD
Colombia,2016,0.524330829,OECD
Colombia,2017,0.532243429,OECD
Colombia,2018,0.542841206,OECD
Colombia,2019,0.553665911,OECD
Colombia,2020,0.558532518,OECD
Colombia,2021,0.555936031,OECD
Colombia,2022,0.555812583,OECD
Colombia,2023,0.566493638,OECD
Colombia,2024,NA,OECD
Colombia,2025,NA,OECD
Costa Rica,2010,0.624851568,OECD
Costa Rica,2011,0.661021777,OECD
Costa Rica,2012,0.699956378,OECD
Costa Rica,2013,0.742067624,OECD
Costa Rica,2014,0.785421971,OECD
Costa Rica,2015,0.829082208,OECD
Costa Rica,2016,0.871101742,OECD
Costa Rica,2017,0.910917722,OECD
Costa Rica,2018,0.951961125,OECD
Costa Rica,2019,0.995668913,OECD
Costa Rica,2020,1.036128017,OECD
Costa Rica,2021,1.066514492,OECD
Costa Rica,2022,1.093389904,OECD
Costa Rica,2023,1.136337484,OECD
Costa Rica,2024,NA,OECD
Costa Rica,2025,NA,OECD
Croatia,2010,1.449288335,OECD
Croatia,2011,1.545380048,OECD
Croatia,2012,1.636349613,OECD
Croatia,2013,1.726724099,OECD
Croatia,2014,1.823684867,OECD
Croatia,2015,1.931339474,OECD
Croatia,2016,2.044509976,OECD
Croatia,2017,2.150397137,OECD
Croatia,2018,2.253502475,OECD
Croatia,2019,2.351496092,OECD
Croatia,2020,2.447370458,OECD
Croatia,2021,2.547921959,OECD
Croatia,2022,2.653462594,OECD
Croatia,2023,2.718271592,OECD
Croatia,2024,NA,OECD
Croatia,2025,NA,OECD
Cyprus,2010,1.057175525,OECD
Cyprus,2011,1.088057706,OECD
Cyprus,2012,1.121205907,OECD
Cyprus,2013,1.154029707,OECD
Cyprus,2014,1.185554508,OECD
Cyprus,2015,1.216398668,OECD
Cyprus,2016,1.247744243,OECD
Cyprus,2017,1.276952312,OECD
Cyprus,2018,1.307311699,OECD
Cyprus,2019,1.340163359,OECD
Cyprus,2020,1.387447471,OECD
Cyprus,2021,1.44772466,OECD
Cyprus,2022,1.480429933,OECD
Cyprus,2023,1.499990149,OECD
Cyprus,2024,NA,OECD
Cyprus,2025,NA,OECD
Czechia,2010,1.4,Eurostat
Czechia,2011,1.5,Eurostat
Czechia,2012,1.5,Eurostat
Czechia,2013,1.6,Eurostat
Czechia,2014,1.7,Eurostat
Czechia,2015,1.7,Eurostat
Czechia,2016,1.8,Eurostat
Czechia,2017,1.8,Eurostat
Czechia,2018,1.9,Eurostat
Czechia,2019,1.9,Eurostat
Czechia,2020,1.9,Eurostat
Czechia,2021,1.9,Eurostat
Czechia,2022,1.9,Eurostat
Czechia,2023,1.8,Eurostat
Czechia,2024,1.9,Eurostat
Czechia,2025,1.9,Eurostat
Denmark,2010,1.999202396,OECD
Denmark,2011,2.019081831,OECD
Denmark,2012,2.040087687,OECD
Denmark,2013,2.058123896,OECD
Denmark,2014,2.073038102,OECD
Denmark,2015,2.079437324,OECD
Denmark,2016,2.081761796,OECD
Denmark,2017,2.089488112,OECD
Denmark,2018,2.098294486,OECD
Denmark,2019,2.122615611,OECD
Denmark,2020,2.165212217,OECD
Denmark,2021,2.209295506,OECD
Denmark,2022,2.252577905,OECD
Denmark,2023,2.314313063,OECD
Denmark,2024,NA,OECD
Denmark,2025,NA,OECD
Estonia,2010,1.590974041,OECD
Estonia,2011,1.713328926,OECD
Estonia,2012,1.854355308,OECD
Estonia,2013,2.002284662,OECD
Estonia,2014,2.141348638,OECD
Estonia,2015,2.267841494,OECD
Estonia,2016,2.389825884,OECD
Estonia,2017,2.497638385,OECD
Estonia,2018,2.56357111,OECD
Estonia,2019,2.602497774,OECD
Estonia,2020,2.682471095,OECD
Estonia,2021,2.789751376,OECD
Estonia,2022,2.900284907,OECD
Estonia,2023,3.01408869,OECD
Estonia,2024,NA,OECD
Estonia,2025,NA,OECD
Finland,2010,2.077945493,OECD
Finland,2011,2.163999346,OECD
Finland,2012,2.241801605,OECD
Finland,2013,2.324494724,OECD
Finland,2014,2.411801928,OECD
Finland,2015,2.49659768,OECD
Finland,2016,2.569207469,OECD
Finland,2017,2.626554082,OECD
Finland,2018,2.667422565,OECD
Finland,2019,2.707624509,OECD
Finland,2020,2.769027917,OECD
Finland,2021,2.823865405,OECD
Finland,2022,2.854686021,OECD
Finland,2023,2.904777926,OECD
Finland,2024,NA,OECD
Finland,2025,NA,OECD
France,2010,2.564845708,OECD
France,2011,2.692888419,OECD
France,2012,2.805872707,OECD
France,2013,2.904181253,OECD
France,2014,3.007002706,OECD
France,2015,3.111182985,OECD
France,2016,3.205614995,OECD
France,2017,3.286630715,OECD
France,2018,3.348354424,OECD
France,2019,3.401779863,OECD
France,2020,3.429962039,OECD
France,2021,3.440543957,OECD
France,2022,3.453169114,OECD
France,2023,3.47454836,OECD
France,2024,NA,OECD
France,2025,NA,OECD
