Country,Year,gdp_per_capita_usd,gdp_growth_pct,unemployment_rate_pct,interest_rate_pct,pension_assets_pct_gdp
Australia,2010,52313.8939,2.210047953,5.211,5.366041667,91.491
Australia,2011,62799.3895,2.394734943,5.081,4.879583333,94.38
Australia,2012,68301.44025,3.952471381,5.224,3.379166667,93.241
Australia,2013,68476.67885,2.654453026,5.662,3.696666667,104.074
Australia,2014,62817.20618,2.601189782,6.077,3.655416667,111.63
Australia,2015,56970.3613,2.164347806,6.054,2.710208333,121.666
Australia,2016,50084.44406,2.755640655,5.714,2.333541667,124.504
Australia,2017,54117.54772,2.293310302,5.604,2.639166667,136.012
Australia,2018,57410.17373,2.874170395,5.345,2.684166667,136.524
Australia,2019,55194.75851,2.194017036,5.143,1.484166667,135.579
Australia,2020,51983.45237,-0.133531904,6.394,0.30833333333333335,132.15
Australia,2021,60758.90444,2.006948443,5.022,0.1,147.765
Australia,2022,65169.51911,4.253045592,3.728,1.3083333333333333,131.25
Australia,2023,65058.37731,3.583821008,3.668,3.8916666666666666,129.621
Australia,2024,64603.98563,1.373407734,3.942,4.35,135.103
Australia,2025,NA,NA,NA,3.85,NA
Austria,2010,46611.13934,1.80898243,4.883,3.225833333,5.323
Austria,2011,51116.89535,2.927468002,4.637,3.319166667,4.952
Austria,2012,48250.40591,0.628246239,4.909,2.3725,5.328
Austria,2013,50305.35458,-0.250726423,5.367,2.01,5.868
Austria,2014,51314.97226,0.75579885,5.674,1.4875,NA
Austria,2015,43915.22802,1.303523318,5.802,0.745833333,NA
Austria,2016,45061.49939,2.117219645,6.064,0.376666667,NA
Austria,2017,47163.74258,2.27224992,5.561,0.576666667,NA
Austria,2018,51194.07498,2.484221141,4.933,0,NA
Austria,2019,49885.99474,1.754976196,4.56,0,NA
Austria,2020,48716.40989,-6.318255092,5.201,0,NA
Austria,2021,53648.6438,4.923091717,6.459,0,NA
Austria,2022,52336.77252,5.330963794,4.992,0.6666666666666666,NA
Austria,2023,56579.50418,-0.786244289,5.264,3.875,6.878
Austria,2024,58268.87877,-0.659089573,5.161,4.020833333333333,7.192
Austria,2025,NA,NA,NA,2.2291666666666665,NA
Belgium,2010,44197.39367,2.710311503,8.293,3.4625,NA
Belgium,2011,47760.82988,1.931155024,7.14,4.233333333,NA
Belgium,2012,44874.17092,0.215803612,7.542,3,NA
Belgium,2013,46964.59468,0.305494549,8.425,2.41,NA
Belgium,2014,47995.7787,1.765540381,8.523,1.713333333,NA
Belgium,2015,40893.80454,1.474164337,8.482,0.84,NA
Belgium,2016,41854.54983,1.19350273,7.83,0.475833333,NA
Belgium,2017,44035.32394,1.474467616,7.09,0.73125,35.867
Belgium,2018,47487.21004,1.877968474,5.941,0,34.285
Belgium,2019,46716.62275,2.442890045,5.364,0,34.742
Belgium,2020,45906.28758,-4.792983908,5.545,0,39.31
Belgium,2021,51658.23829,6.254456865,6.248,0,NA
Belgium,2022,50605.74967,3.956237976,5.57,0.6666666666666666,NA
Belgium,2023,55291.47545,1.714121955,5.547,3.875,30.396
Belgium,2024,56614.56795,1.07045413,5.701,4.020833333333333,30.268
Belgium,2025,NA,NA,NA,2.2291666666666665,NA
Bulgaria,2010,6853.948055,1.555359799,10.279,6.004466667,5.337
Bulgaria,2011,7849.580613,2.090175078,11.26,5.356841667,5.668
Bulgaria,2012,7431.957895,0.748815412,12.27,4.497416667,6.908
Bulgaria,2013,7795.980921,-0.542751389,12.941,3.47295,8.293
Bulgaria,2014,8069.600057,0.949449091,11.424,3.3475,9.727
Bulgaria,2015,7268.654455,3.397553368,9.143,2.490608333,10.488
Bulgaria,2016,7822.499233,3.026628412,7.575,2.270575,11.352
Bulgaria,2017,8696.689304,2.745926761,6.164,1.602733333,12.409
Bulgaria,2018,9849.383972,2.330152134,5.211,0.892175,12.263
Bulgaria,2019,10353.72046,3.793317654,4.148,0.429,13.122
Bulgaria,2020,10760.21198,-3.133233031,5.037,0.252816667,14.375
Bulgaria,2021,12966.14575,7.828172328,5.166,0.189075,14.053
Bulgaria,2022,13999.19495,4.083864092,4.148,1.531916667,11.458
Bulgaria,2023,15853.20864,1.68151075,4.319,3.755391667,12.502
Bulgaria,2024,17596.01737,3.387090638,4.165,3.930583333,13.14
Bulgaria,2025,NA,NA,NA,3.9294,NA
Canada,2010,47560.6666,3.090806345,8.178,3.6575,130.421
Canada,2011,52223.85884,3.137194422,7.637,3.214166667,126.822
Canada,2012,52670.34473,1.755661291,7.392,2.331666667,133.878
Canada,2013,52638.11872,2.325813548,7.143,2.718333333,142.327
Canada,2014,50960.84312,2.873466778,7.023,2.598333333,148.948
Canada,2015,43594.1941,0.649971002,6.945,2.023333333,157.219
Canada,2016,42314.06158,1.038550925,7.038,1.804166667,162.312
Canada,2017,45129.62812,3.033834912,6.426,2.133333333,165.855
Canada,2018,46539.17616,2.742963449,5.837,1.4375,158.039
Canada,2019,46352.86934,1.908431946,5.69,1.75,169.513
Canada,2020,43537.8393,-5.038233435,9.657,0.5,185.873
Canada,2021,52886.66164,5.950528028,7.527,0.25,173.218
Canada,2022,56256.80073,4.189036281,5.279,2.0416666666666665,144.048
Canada,2023,54220.3285,1.528745508,5.415,4.770833333333333,147.464
Canada,2024,54340.34772,1.55479521,6.351,4.479166666666667,157.888
Canada,2025,NA,NA,NA,2.6458333333333335,NA
Chile,2010,12632.87047,5.851651022,8.547,1.5416666666666667,62.759
Chile,2011,14487.39278,6.223896785,7.492,4.75,57.919
Chile,2012,15241.907,6.155340019,6.79,5,59.661
Chile,2013,15683.54864,3.308508247,6.361,4.895833333333333,62.171
Chile,2014,14529.67672,1.792649471,6.761,3.6875,67.914
Chile,2015,13433.9203,2.1519425,6.605,3.0833333333333335,68.99
Chile,2016,13649.85205,1.753038749,6.926,3.5,68.989
Chile,2017,14879.90862,1.357695373,7.3,2.6875,72.226
Chile,2018,15659.48087,3.990029478,7.673,2.5625,70.919
Chile,2019,14495.71672,0.634367534,7.559,2.4791666666666665,82.018
Chile,2020,13114.81547,-6.143474792,11.18,0.75,75.513
Chile,2021,16206.83255,11.31492049,9.417,1.2916666666666667,60.624
Chile,2022,15405.61658,2.153993562,8.331,8.854166666666666,57.608
Chile,2023,17067.03648,0.521367977,9.091,10.3125,59.189
Chile,2024,16709.8894,2.644311549,8.756,6.125,59.345
Chile,2025,NA,NA,NA,4.854166666666667,NA
Colombia,2010,6398.295845,4.494658971,11.153,3.1666666666666665,16.158
Colombia,2011,7400.99407,6.947891982,10.288,4.0625,16.949
Colombia,2012,8108.598382,3.912635767,9.959,4.9375,18.133
Colombia,2013,8279.102556,5.13399352,9.246,3.3541666666666665,18.014
Colombia,2014,8187.208249,4.499030001,8.799,3.9166666666666665,19.989
Colombia,2015,6248.514905,2.955901375,8.572,4.729166666666667,20.34
Colombia,2016,5959.842504,2.087382502,8.922,7.145833333333333,22.434
Colombia,2017,6479.532313,1.359360868,9.086,6,25.066
Colombia,2018,6816.968183,2.564324283,9.36,4.3125,23.947
Colombia,2019,6472.545449,3.186855392,10.28,4.25,26.752
Colombia,2020,5339.687114,-7.185914138,15.722,2.8125,32.105
Colombia,2021,6222.621644,10.80119819,13.898,1.9375,29.992
Colombia,2022,6680.445069,7.328277294,10.541,7.458333333333333,23.473
Colombia,2023,7000.836605,0.712380032,9.591,13.104166666666666,25.23
Colombia,2024,7919.208868,1.598331537,9.619,11.333333333333334,27.086
Colombia,2025,NA,NA,NA,9.333333333333334,NA
