country,country_code,year,agg_replacement_ratio
Austria,AUT,2010,0.55
Austria,AUT,2011,0.57
Austria,AUT,2012,0.56
Austria,AUT,2013,0.58
Austria,AUT,2014,0.61
Austria,AUT,2015,0.61
Austria,AUT,2016,0.59
Austria,AUT,2017,0.61
Austria,AUT,2018,0.59
Austria,AUT,2019,0.6
Austria,AUT,2020,0.6
Austria,AUT,2021,0.61
Austria,AUT,2022,0.57
Austria,AUT,2023,0.56
Austria,AUT,2024,0.55
Austria,AUT,2025,NA
Belgium,BEL,2010,0.45
Belgium,BEL,2011,0.45
Belgium,BEL,2012,0.46
Belgium,BEL,2013,0.47
Belgium,BEL,2014,0.48
Belgium,BEL,2015,0.49
Belgium,BEL,2016,0.48
Belgium,BEL,2017,0.5
Belgium,BEL,2018,0.5
Belgium,BEL,2019,0.47
Belgium,BEL,2020,0.47
Belgium,BEL,2021,0.49
Belgium,BEL,2022,0.47
Belgium,BEL,2023,0.48
Belgium,BEL,2024,0.48
Belgium,BEL,2025,0.48
Bulgaria,BGR,2010,0.45
Bulgaria,BGR,2011,0.42
Bulgaria,BGR,2012,0.43
Bulgaria,BGR,2013,0.43
Bulgaria,BGR,2014,0.48
Bulgaria,BGR,2015,0.42
Bulgaria,BGR,2016,0.47
Bulgaria,BGR,2017,0.38
Bulgaria,BGR,2018,0.41
Bulgaria,BGR,2019,0.37
Bulgaria,BGR,2020,0.35
Bulgaria,BGR,2021,0.37
Bulgaria,BGR,2022,0.38
Bulgaria,BGR,2023,0.46
Bulgaria,BGR,2024,0.44
Bulgaria,BGR,2025,0.46
Croatia,HRV,2010,0.29
Croatia,HRV,2011,0.32
Croatia,HRV,2012,0.32
Croatia,HRV,2013,0.32
Croatia,HRV,2014,0.36
Croatia,HRV,2015,0.37
Croatia,HRV,2016,0.38
Croatia,HRV,2017,0.38
Croatia,HRV,2018,0.38
Croatia,HRV,2019,0.38
Croatia,HRV,2020,0.36
Croatia,HRV,2021,0.36
Croatia,HRV,2022,0.36
Croatia,HRV,2023,0.35
Croatia,HRV,2024,0.35
Croatia,HRV,2025,NA
Cyprus,CYP,2010,0.39
Cyprus,CYP,2011,0.43
Cyprus,CYP,2012,0.45
Cyprus,CYP,2013,0.45
Cyprus,CYP,2014,0.42
Cyprus,CYP,2015,0.44
Cyprus,CYP,2016,0.45
Cyprus,CYP,2017,0.42
Cyprus,CYP,2018,0.43
Cyprus,CYP,2019,0.45
Cyprus,CYP,2020,0.41
Cyprus,CYP,2021,0.47
Cyprus,CYP,2022,0.44
Cyprus,CYP,2023,0.43
Cyprus,CYP,2024,0.41
Cyprus,CYP,2025,NA
Czechia,CZE,2010,0.54
Czechia,CZE,2011,0.53
Czechia,CZE,2012,0.55
Czechia,CZE,2013,0.57
Czechia,CZE,2014,0.55
Czechia,CZE,2015,0.52
Czechia,CZE,2016,0.51
Czechia,CZE,2017,0.51
Czechia,CZE,2018,0.5
Czechia,CZE,2019,0.5
Czechia,CZE,2020,0.49
Czechia,CZE,2021,0.51
Czechia,CZE,2022,0.49
Czechia,CZE,2023,0.52
Czechia,CZE,2024,0.56
Czechia,CZE,2025,0.53
Denmark,DNK,2010,0.43
Denmark,DNK,2011,0.44
Denmark,DNK,2012,0.43
Denmark,DNK,2013,0.46
Denmark,DNK,2014,0.47
Denmark,DNK,2015,0.47
Denmark,DNK,2016,0.47
Denmark,DNK,2017,0.49
Denmark,DNK,2018,0.5
Denmark,DNK,2019,0.5
Denmark,DNK,2020,0.47
Denmark,DNK,2021,0.44
Denmark,DNK,2022,0.47
Denmark,DNK,2023,0.47
Denmark,DNK,2024,0.47
Denmark,DNK,2025,NA
Estonia,EST,2010,0.55
Estonia,EST,2011,0.56
Estonia,EST,2012,0.52
Estonia,EST,2013,0.52
Estonia,EST,2014,0.53
Estonia,EST,2015,0.47
Estonia,EST,2016,0.48
Estonia,EST,2017,0.48
Estonia,EST,2018,0.45
Estonia,EST,2019,0.49
Estonia,EST,2020,0.48
Estonia,EST,2021,0.49
Estonia,EST,2022,0.49
Estonia,EST,2023,0.46
Estonia,EST,2024,0.5
Estonia,EST,2025,0.49
Finland,FIN,2010,0.52
Finland,FIN,2011,0.53
Finland,FIN,2012,0.52
Finland,FIN,2013,0.51
Finland,FIN,2014,0.54
Finland,FIN,2015,0.54
Finland,FIN,2016,0.53
Finland,FIN,2017,0.54
Finland,FIN,2018,0.54
Finland,FIN,2019,0.53
Finland,FIN,2020,0.53
Finland,FIN,2021,0.53
Finland,FIN,2022,0.53
Finland,FIN,2023,0.52
Finland,FIN,2024,0.53
Finland,FIN,2025,0.53
France,FRA,2010,0.66
France,FRA,2011,0.64
